,MTprime,MPhi,Limit (fb)
0,1600.0,350.0,66.62499904632568
1,1600.0,125.0,5.2656251192092896
2,900.0,75.0,35.624998807907104
3,1000.0,200.0,94.0625011920929
4,1000.0,75.0,16.171875596046448
5,1200.0,200.0,15.312500298023224
6,1800.0,450.0,220.49999237060547
7,1300.0,125.0,9.375
8,1300.0,250.0,13.398437201976776
9,1300.0,75.0,5.429687350988388
10,1400.0,200.0,7.718750238418579
11,1500.0,250.0,4.859375059604645
12,1700.0,75.0,3.4843748807907104
13,1800.0,500.0,256.74999237060547
14,1800.0,125.0,4.0625
15,1000.0,125.0,18.203124403953552
16,1800.0,75.0,2.6328125596046448
17,1100.0,200.0,28.984373807907104
18,1100.0,450.0,1067.5000190734863
19,1900.0,100.0,3.28125
20,1200.0,450.0,1077.4999618530273
21,1900.0,125.0,3.7656250596046448
22,1900.0,125.0,3.7656250596046448
23,1400.0,250.0,7.437499761581421
24,1400.0,75.0,4.4999998807907104
25,1500.0,175.0,8.125
26,1700.0,350.0,35.49999952316284
27,1600.0,250.0,3.5781249403953552
28,1900.0,175.0,4.7968751192092896
29,1000.0,450.0,2264.9999618530273
30,1100.0,100.0,14.2578125
31,1100.0,175.0,24.843749403953552
32,1900.0,250.0,2.1562500298023224
33,1200.0,175.0,16.093750298023224
34,1200.0,250.0,36.87500059604645
35,1200.0,75.0,6.992187350988388
36,1900.0,350.0,14.406249523162842
37,1300.0,450.0,992.5000190734863
38,1400.0,125.0,7.124999761581421
39,1900.0,450.0,192.5
40,1500.0,125.0,6.2031251192092896
41,1500.0,75.0,4.203124940395355
42,1800.0,100.0,3.5781249403953552
43,1500.0,200.0,6.656249761581421
44,1300.0,175.0,11.835937201976776
45,1300.0,350.0,428.74999046325684
46,1400.0,175.0,8.93750011920929
47,1400.0,350.0,275.49999237060547
48,1500.0,100.0,5.7499998807907104
49,1600.0,100.0,4.859375059604645
50,1900.0,500.0,262.99999237060547
51,1900.0,75.0,2.5624999403953552
52,1600.0,200.0,5.46875
53,2900.0,75.0,2.4843749403953552
54,1000.0,100.0,21.328124403953552
55,1000.0,500.0,3529.9999237060547
56,2000.0,100.0,3.4375
57,1600.0,75.0,3.515625
58,2000.0,175.0,4.984374940395356
59,1700.0,100.0,4.5781248807907104
60,2000.0,250.0,2.2421875596046448
61,1700.0,200.0,5.5000001192092896
62,2000.0,350.0,11.906249523162842
63,1700.0,250.0,3.3281248807907104
64,1700.0,500.0,352.5
65,2000.0,450.0,156.75000190734863
66,2000.0,500.0,198.25000762939453
67,2400.0,125.0,2.4999999999999996
68,2400.0,175.0,3.1406250596046448
69,2400.0,200.0,2.8125
70,2400.0,450.0,27.750000953674316
71,2800.0,100.0,2.2265625
72,2800.0,125.0,2.492187470197678
73,2800.0,500.0,25.125000476837158
74,2900.0,100.0,2.2343750298023224
75,2900.0,125.0,2.5312501192092896
76,2900.0,175.0,3.0312499403953552
77,2900.0,250.0,1.328125
78,2900.0,350.0,3.1406250596046448
79,2900.0,450.0,13.687499761581421
80,2900.0,500.0,22.312500476837158
81,3000.0,100.0,2.2578124701976776
82,3000.0,125.0,2.5078123807907104
83,3000.0,175.0,3.1015625596046448
84,3000.0,200.0,2.7031248807907104
85,3000.0,250.0,1.3242188096046448
86,3000.0,350.0,2.890625
87,3000.0,450.0,12.687499523162842
88,3000.0,500.0,20.406250953674316
89,3000.0,75.0,2.7656251192092896
90,800.0,100.0,263.12499046325684
91,800.0,125.0,326.2500047683716
92,800.0,175.0,1239.9999618530273
93,800.0,200.0,2212.5
94,800.0,250.0,3565.0001525878906
95,800.0,350.0,8334.99984741211
96,800.0,75.0,222.49999046325684
97,900.0,100.0,31.718748807907104
98,900.0,125.0,41.24999940395355
99,900.0,175.0,182.50000476837158
100,900.0,200.0,432.4999809265137
101,900.0,350.0,2125.0
102,900.0,450.0,3879.9999237060547
103,900.0,500.0,1707.5000762939453
