,MTprime,MPhi,Limit (fb)
0,1600.0,350.0,112.3103141784668
1,1600.0,125.0,10.927491188049316
2,900.0,75.0,68.72496008872986
3,1000.0,200.0,182.0555567741394
4,1000.0,75.0,31.651517748832703
5,1200.0,200.0,28.06026041507721
6,1800.0,450.0,460.30506134033203
7,1300.0,125.0,18.457746505737305
8,1300.0,250.0,27.17466652393341
9,1300.0,75.0,11.565130203962326
10,1400.0,200.0,14.91144061088562
11,1500.0,250.0,9.299192428588867
12,1700.0,75.0,7.887634038925171
13,1800.0,500.0,528.39111328125
14,1800.0,125.0,8.370676636695862
15,1000.0,125.0,35.1656436920166
16,1800.0,75.0,6.450515985488892
17,1100.0,200.0,53.40515375137329
18,1100.0,450.0,2267.272186279297
19,1900.0,100.0,7.290025949478149
20,1200.0,450.0,2153.0017852783203
21,1900.0,125.0,7.768296003341675
22,1900.0,125.0,7.768296003341675
23,1400.0,250.0,14.117388725280762
24,1400.0,75.0,9.697791934013367
25,1500.0,175.0,16.14169478416443
26,1700.0,350.0,66.33085250854492
27,1600.0,250.0,6.748870015144348
28,1900.0,175.0,9.550198912620544
29,1000.0,450.0,4491.555404663086
30,1100.0,100.0,27.193808555603027
31,1100.0,175.0,46.168479323387146
32,1900.0,250.0,4.128243625164032
33,1200.0,175.0,30.503278970718384
34,1200.0,250.0,76.48295760154724
35,1200.0,75.0,14.285938441753387
36,1900.0,350.0,23.310770988464355
37,1300.0,450.0,1824.5428085327148
38,1400.0,125.0,14.32576060295105
39,1900.0,450.0,377.12574005126953
40,1500.0,125.0,12.673783302307129
41,1500.0,75.0,8.860560655593872
42,1800.0,100.0,7.486790418624878
43,1500.0,200.0,13.06302547454834
44,1300.0,175.0,22.649961709976196
45,1300.0,350.0,905.3852081298828
46,1400.0,175.0,17.492432594299316
47,1400.0,350.0,549.948616027832
48,1500.0,100.0,11.995989084243774
49,1600.0,100.0,10.167649984359741
50,1900.0,500.0,539.3207550048828
51,1900.0,75.0,7.763301134109497
52,1600.0,200.0,10.995650291442871
53,2900.0,75.0,7.534660696983337
54,1000.0,100.0,40.42424559593201
55,1000.0,500.0,7057.246398925781
56,2000.0,100.0,7.863092422485352
57,1600.0,75.0,7.618768811225891
58,2000.0,175.0,10.04736065864563
59,1700.0,100.0,9.388128519058228
60,2000.0,250.0,4.438218176364899
61,1700.0,200.0,11.086742877960205
62,2000.0,350.0,23.890528678894043
63,1700.0,250.0,6.4475637674331665
64,1700.0,500.0,685.4436492919922
65,2000.0,450.0,281.40493392944336
66,2000.0,500.0,390.8415222167969
67,2400.0,125.0,6.144893765449524
68,2400.0,175.0,6.186621785163879
69,2400.0,200.0,5.5046117305755615
70,2400.0,450.0,36.6709566116333
71,2800.0,100.0,6.573871970176697
72,2800.0,125.0,7.060104608535767
73,2800.0,500.0,33.383212089538574
74,2900.0,100.0,6.596938371658325
75,2900.0,125.0,7.2655922174453735
76,2900.0,175.0,6.1552393436431885
77,2900.0,250.0,2.7086499333381653
78,2900.0,350.0,6.130141019821167
79,2900.0,450.0,17.986042499542236
80,2900.0,500.0,29.481263160705566
81,3000.0,100.0,6.666136980056763
82,3000.0,125.0,7.540610432624817
83,3000.0,175.0,6.371662616729736
84,3000.0,200.0,5.4618871212005615
85,3000.0,250.0,2.6940029859542847
86,3000.0,350.0,5.88219940662384
87,3000.0,450.0,16.57776117324829
88,3000.0,500.0,26.962554454803467
89,3000.0,75.0,8.387641906738281
90,800.0,100.0,493.662166595459
91,800.0,125.0,622.533369064331
92,800.0,175.0,2603.8164138793945
93,800.0,200.0,5427.8961181640625
94,800.0,250.0,7270.654296875
95,800.0,350.0,16357.606506347656
96,800.0,75.0,425.78935623168945
97,900.0,100.0,61.47676110267639
98,900.0,125.0,80.32259941101074
99,900.0,175.0,355.8582544326782
100,900.0,200.0,958.5310935974121
101,900.0,350.0,4197.156524658203
102,900.0,450.0,8314.891815185547
103,900.0,500.0,1721.0990905761719
