,MTprime,MPhi,Limit (fb)
0,1000.0,100.0,39.83194828033447
1,1000.0,125.0,34.81462001800537
2,1000.0,200.0,185.0797414779663
3,1000.0,450.0,5050.209426879883
4,1000.0,500.0,8602.433776855469
5,1000.0,75.0,30.775892734527588
6,1100.0,100.0,26.758798956871033
7,1100.0,175.0,45.803046226501465
8,1100.0,200.0,53.71804237365723
9,1100.0,450.0,2386.7538452148438
10,1200.0,175.0,30.059054493904114
11,1200.0,200.0,27.586862444877625
12,1200.0,250.0,78.01188826560974
13,1200.0,450.0,2510.8537673950195
14,1200.0,75.0,13.966700434684753
15,1300.0,125.0,18.155254423618317
16,1300.0,175.0,22.24411815404892
17,1300.0,250.0,27.332043647766113
18,1300.0,350.0,1049.9692916870117
19,1300.0,450.0,2353.6375045776367
20,1300.0,75.0,11.301233619451523
21,1400.0,125.0,14.092415571212769
22,1400.0,175.0,17.318389415740967
23,1400.0,200.0,14.790700674057007
24,1400.0,250.0,14.078714847564697
25,1400.0,350.0,642.6982879638672
26,1400.0,450.0,1489.2436218261719
27,1400.0,75.0,9.515925645828247
28,1500.0,100.0,11.867706775665283
29,1500.0,125.0,12.514163255691528
30,1500.0,175.0,15.943560600280762
31,1500.0,200.0,13.027580976486206
32,1500.0,250.0,9.32909369468689
33,1500.0,500.0,1407.0086669921875
34,1500.0,75.0,8.720850944519043
35,1600.0,100.0,10.036876201629639
36,1600.0,125.0,10.79778790473938
37,1600.0,200.0,10.935255289077759
38,1600.0,250.0,6.781796216964722
39,1600.0,350.0,123.53556632995605
40,1600.0,450.0,890.7466888427734
41,1600.0,75.0,7.483323812484741
42,1700.0,100.0,9.33786690235138
43,1700.0,200.0,11.055920124053955
44,1700.0,250.0,6.477833986282349
45,1700.0,350.0,71.45910263061523
46,1700.0,500.0,860.9902191162109
47,1700.0,75.0,7.781522870063782
48,1800.0,100.0,7.457164525985718
49,1800.0,125.0,8.308731317520142
50,1800.0,450.0,594.969596862793
51,1800.0,500.0,666.068115234375
52,1800.0,75.0,6.339776515960693
53,1900.0,100.0,7.246910929679871
54,1900.0,125.0,7.736062407493591
55,1900.0,175.0,9.413307905197144
56,1900.0,250.0,4.132889211177826
57,1900.0,350.0,24.453558921813965
58,1900.0,450.0,446.73755645751953
59,1900.0,500.0,695.4363250732422
60,1900.0,75.0,7.66862690448761
61,2000.0,100.0,7.827351093292236
62,2000.0,175.0,9.984368085861206
63,2000.0,250.0,4.488039314746857
64,2000.0,350.0,25.176169872283936
65,2000.0,450.0,321.19312286376953
66,2000.0,500.0,478.38794708251953
67,2400.0,125.0,6.1939287185668945
68,2400.0,175.0,6.170093417167664
69,2400.0,200.0,5.519588589668274
70,2400.0,450.0,40.668601989746094
71,2800.0,100.0,6.752762198448181
72,2800.0,125.0,7.294402122497559
73,2800.0,500.0,37.43752956390381
74,2900.0,100.0,6.800150275230408
75,2900.0,125.0,7.588860988616943
76,2900.0,175.0,6.186967492103577
77,2900.0,250.0,2.7605298161506653
78,2900.0,350.0,6.703031659126282
79,2900.0,450.0,20.058720111846924
80,2900.0,500.0,33.29585075378418
81,2900.0,75.0,7.6294368505477905
82,3000.0,100.0,6.8712317943573
83,3000.0,125.0,7.715805172920227
84,3000.0,175.0,6.439322233200073
85,3000.0,200.0,10.0
86,3000.0,250.0,2.757079601287842
87,3000.0,350.0,6.44525945186615
88,3000.0,450.0,18.59695076942444
89,3000.0,500.0,30.412917137145996
90,3000.0,75.0,8.529804944992065
91,800.0,100.0,473.69890213012695
92,800.0,125.0,603.4518718719482
93,800.0,175.0,2871.547508239746
94,800.0,200.0,6017.151260375977
95,800.0,250.0,8458.902740478516
96,800.0,350.0,19411.488342285156
97,800.0,450.0,16046.914672851562
98,800.0,500.0,16975.747680664062
99,800.0,75.0,409.3593120574951
100,900.0,100.0,61.07010841369629
101,900.0,125.0,79.90765571594238
102,900.0,175.0,362.39938735961914
103,900.0,200.0,1055.4227828979492
104,900.0,350.0,4831.172180175781
105,900.0,450.0,10110.037994384766
106,900.0,500.0,14532.464599609375
107,900.0,75.0,66.61498546600342
