,MTprime,MPhi,Limit (fb)
0,1000.0,100.0,29.476311802864075
1,1000.0,125.0,25.528180599212646
2,1000.0,200.0,135.26619672775269
3,1000.0,450.0,3611.5528106689453
4,1000.0,500.0,6096.0906982421875
5,1000.0,75.0,22.33801782131195
6,1100.0,100.0,19.66913789510727
7,1100.0,175.0,34.22258794307709
8,1100.0,200.0,40.082740783691406
9,1100.0,450.0,1662.3172760009766
10,1200.0,175.0,22.244204580783844
11,1200.0,200.0,20.847921073436737
12,1200.0,250.0,54.617488384246826
13,1200.0,450.0,1769.2070007324219
14,1200.0,75.0,9.942248463630676
15,1300.0,125.0,13.131475448608398
16,1300.0,175.0,16.37342721223831
17,1300.0,250.0,19.608314335346222
18,1300.0,350.0,736.3822937011719
19,1300.0,450.0,1712.2194290161133
20,1300.0,75.0,7.954012602567673
21,1400.0,125.0,10.125057697296143
22,1400.0,175.0,12.633823156356812
23,1400.0,200.0,10.860655307769775
24,1400.0,250.0,10.446977615356445
25,1400.0,350.0,465.22796630859375
26,1400.0,450.0,1081.8380737304688
27,1400.0,75.0,6.636815071105957
28,1500.0,100.0,8.362267017364502
29,1500.0,125.0,8.908254504203796
30,1500.0,175.0,11.475830078125
31,1500.0,200.0,9.44212019443512
32,1500.0,250.0,6.876491904258728
33,1500.0,500.0,1000.0665283203125
34,1500.0,75.0,6.1474186182022095
35,1600.0,100.0,7.07222044467926
36,1600.0,125.0,7.629690766334534
37,1600.0,200.0,7.820788025856018
38,1600.0,250.0,5.018643140792847
39,1600.0,350.0,97.13804244995117
40,1600.0,450.0,666.3153839111328
41,1600.0,75.0,5.173662900924683
42,1700.0,100.0,6.657562255859375
43,1700.0,200.0,7.930022478103638
44,1700.0,250.0,4.769881367683411
45,1700.0,350.0,54.29089546203613
46,1700.0,500.0,622.2430801391602
47,1700.0,75.0,5.232464671134949
48,1800.0,100.0,5.2484869956970215
49,1800.0,125.0,5.888380408287048
50,1800.0,450.0,399.7486877441406
51,1800.0,500.0,459.2152786254883
52,1800.0,75.0,4.039317071437836
53,1900.0,100.0,4.921148419380188
54,1900.0,125.0,5.498876571655273
55,1900.0,175.0,6.847974061965942
56,1900.0,250.0,3.0219414830207825
57,1900.0,350.0,20.335443019866943
58,1900.0,450.0,357.2370147705078
59,1900.0,500.0,519.1140747070312
60,1900.0,75.0,4.044700860977173
61,2000.0,100.0,5.208680629730225
62,2000.0,175.0,7.184125781059265
63,2000.0,250.0,3.261197507381439
64,2000.0,350.0,19.47448492050171
65,2000.0,450.0,267.3369789123535
66,2000.0,500.0,389.1718292236328
67,2400.0,125.0,3.807324469089508
68,2400.0,175.0,4.430047571659088
69,2400.0,200.0,4.012049734592438
70,2400.0,450.0,35.46729564666748
71,2800.0,100.0,4.480856657028198
72,2800.0,125.0,3.9416900277137756
73,2800.0,500.0,32.602479457855225
74,2900.0,100.0,4.512301385402679
75,2900.0,125.0,4.074206650257111
76,2900.0,175.0,4.370677173137665
77,2900.0,250.0,1.9770869612693787
78,2900.0,350.0,5.253453850746155
79,2900.0,450.0,17.468140125274658
80,2900.0,500.0,28.995697498321533
81,2900.0,75.0,5.062581896781921
82,3000.0,100.0,4.559468030929565
83,3000.0,125.0,4.049363732337952
84,3000.0,175.0,4.5076584815979
85,3000.0,200.0,3.929498791694641
86,3000.0,250.0,1.9716684520244598
87,3000.0,350.0,4.929808974266052
88,3000.0,450.0,16.195157766342163
89,3000.0,500.0,26.485095024108887
90,3000.0,75.0,5.660029649734497
91,800.0,100.0,353.40232849121094
92,800.0,125.0,443.5691833496094
93,800.0,175.0,2005.2568435668945
94,800.0,200.0,4115.446090698242
95,800.0,250.0,6144.839859008789
96,800.0,350.0,14260.786437988281
97,800.0,450.0,11440.87142944336
98,800.0,500.0,12195.217895507812
99,800.0,75.0,299.74451065063477
100,900.0,100.0,44.55085098743439
101,900.0,125.0,58.29290151596069
102,900.0,175.0,267.1252489089966
103,900.0,200.0,724.8314380645752
104,900.0,350.0,3433.8760375976562
105,900.0,450.0,7252.485656738281
106,900.0,500.0,10563.282012939453
107,900.0,75.0,48.84612858295441
