,MTprime,MPhi,Limit (fb)
0,1000.0,100.0,11.328735202550888
1,1000.0,125.0,9.587402641773224
2,1000.0,200.0,51.17431879043579
3,1000.0,450.0,1274.1796493530273
4,1000.0,500.0,2171.6405868530273
5,1000.0,75.0,8.342285454273224
6,1100.0,100.0,7.504730671644211
7,1100.0,175.0,13.458251953125
8,1100.0,200.0,15.80810546875
9,1100.0,450.0,581.3671588897705
10,1200.0,175.0,8.549194037914276
11,1200.0,200.0,8.245849609375
12,1200.0,250.0,19.71069425344467
13,1200.0,450.0,595.3125
14,1200.0,75.0,3.5247802734375
15,1300.0,125.0,4.876708984375
16,1300.0,175.0,6.275024265050888
17,1300.0,250.0,7.115478068590164
18,1300.0,350.0,217.50001907348633
19,1300.0,450.0,624.2431640625
20,1300.0,75.0,2.675781212747097
21,1400.0,125.0,3.6640623211860657
22,1400.0,175.0,4.7314453125
23,1400.0,200.0,4.0673828125
24,1400.0,250.0,3.9635011553764343
25,1400.0,350.0,154.5156192779541
26,1400.0,450.0,395.5078125
27,1400.0,75.0,2.1687012910842896
28,1500.0,100.0,2.8802490234375
29,1500.0,125.0,3.1582030653953552
30,1500.0,175.0,4.187500178813934
31,1500.0,200.0,3.5101318359375
32,1500.0,250.0,2.6279297471046448
33,1500.0,500.0,358.21678161621094
34,1500.0,75.0,1.9980467855930328
35,1600.0,100.0,2.3984375596046448
36,1600.0,125.0,2.6422119140625
37,1600.0,200.0,2.8168335556983948
38,1600.0,250.0,1.9148559868335724
39,1600.0,350.0,35.78320264816284
40,1600.0,450.0,246.76563262939453
41,1600.0,75.0,1.68609619140625
42,1700.0,100.0,2.2578124701976776
43,1700.0,200.0,2.76123046875
44,1700.0,250.0,1.7763671278953552
45,1700.0,350.0,17.25732445716858
46,1700.0,500.0,224.384765625
47,1700.0,75.0,1.6650390625
48,1800.0,100.0,1.7518310248851776
49,1800.0,125.0,2.0234985649585724
50,1800.0,450.0,134.0625
51,1800.0,500.0,158.03906440734863
52,1800.0,75.0,1.2222594767808914
53,1900.0,100.0,1.5996092557907104
54,1900.0,125.0,1.8896484375
55,1900.0,175.0,2.4041748046875
56,1900.0,250.0,1.12457275390625
57,1900.0,350.0,6.971679925918579
58,1900.0,450.0,120.50000190734863
59,1900.0,500.0,168.75
60,1900.0,75.0,1.186523512005806
61,2000.0,100.0,1.67083740234375
62,2000.0,175.0,2.5152587890625
63,2000.0,250.0,1.1633606255054474
64,2000.0,350.0,5.855712890625
65,2000.0,450.0,98.47460746765137
66,2000.0,500.0,127.84570693969727
67,2400.0,125.0,1.2343139201402664
68,2400.0,175.0,1.6193847358226776
69,2400.0,200.0,1.4501953125
70,2400.0,450.0,26.383299827575684
71,2800.0,100.0,1.043701171875
72,2800.0,125.0,1.2124328315258026
73,2800.0,500.0,24.423093795776367
74,2900.0,100.0,1.0422668606042862
75,2900.0,125.0,1.2211913615465164
76,2900.0,175.0,1.5472412109375
77,2900.0,250.0,0.6903076171875
78,2900.0,350.0,1.5397949516773224
79,2900.0,450.0,13.206299543380737
80,2900.0,500.0,21.62109375
81,2900.0,75.0,0.9924927353858948
82,3000.0,100.0,1.0443115234375
83,3000.0,125.0,1.2137450277805328
84,3000.0,175.0,1.57470703125
85,3000.0,200.0,1.3770116865634918
86,3000.0,250.0,0.6903076171875
87,3000.0,350.0,1.431884765625
88,3000.0,450.0,12.243896722793579
89,3000.0,500.0,19.840455055236816
90,3000.0,75.0,1.043701171875
91,800.0,100.0,135.4394555091858
92,800.0,125.0,170.47851085662842
93,800.0,175.0,715.8008098602295
94,800.0,200.0,1203.0467987060547
95,800.0,250.0,2196.562385559082
96,800.0,350.0,5449.921798706055
97,800.0,450.0,3698.1250762939453
98,800.0,500.0,4421.77734375
99,800.0,75.0,113.720703125
100,900.0,100.0,16.684570908546448
101,900.0,125.0,21.831053495407104
102,900.0,175.0,102.08495855331421
103,900.0,200.0,229.94139194488525
104,900.0,350.0,1257.7342987060547
105,900.0,450.0,2125.3711700439453
106,900.0,500.0,3818.203353881836
107,900.0,75.0,18.344727158546448
