,MTprime,MPhi,limit_p1,limit_p2,limit_m1,limit_m2,exp,obs
21,1200.0,450.0,1769.2070007324219,2510.8537673950195,822.0703125,595.3125,1200.0,1471.310773755776
9,1300.0,75.0,7.954012602567673,11.301233619451523,3.679199144244194,2.675781212747097,5.351562425494194,4.967448964248292
7,1300.0,125.0,13.131475448608398,18.155254423618317,6.523942947387695,4.876708984375,9.1796875,9.786940437455794
44,1300.0,175.0,16.37342721223831,22.24411815404892,8.329043537378311,6.275024265050888,11.640624701976776,10.118737980201846
8,1300.0,250.0,19.608314335346222,27.332043647766113,9.595441073179245,7.115478068590164,13.593749701976776,14.565372379030569
45,1300.0,350.0,736.3822937011719,1049.9692916870117,315.9375190734863,217.50001907348633,480.0000190734863,499.63949145041556
37,1300.0,450.0,1712.2194290161133,2353.6375045776367,838.4293556213379,624.2431640625,1183.7499618530273,1022.3297226755265
24,1400.0,75.0,6.636815071105957,9.515925645828247,2.990301251411438,2.1687012910842896,4.4062501192092896,4.54258956134868
38,1400.0,125.0,10.125057697296143,14.092415571212769,4.941100776195526,3.6640623211860657,6.9999998807907104,8.089349133659336
46,1400.0,175.0,12.633823156356812,17.318389415740967,6.329612731933594,4.7314453125,8.90625,8.016425378726046
10,1400.0,200.0,10.860655307769775,14.790700674057007,5.441246032714844,4.0673828125,7.65625,8.655716982761476
23,1400.0,250.0,10.446977615356445,14.078714847564697,5.308325290679932,3.9635011553764343,7.406250238418579,10.054611254173928
47,1400.0,350.0,465.22796630859375,642.6982879638672,214.91222381591797,154.5156192779541,318.9999961853028,312.1827769763902
11,1400.0,450.0,1081.8380737304688,1489.2436218261719,531.2118530273438,395.5078125,750.0,774.9010555502161
41,1500.0,75.0,6.1474186182022095,8.720850944519043,2.7956542372703552,1.9980467855930328,4.124999940395355,5.169925645201404
48,1500.0,100.0,8.362267017364502,11.867706775665283,3.927108645439148,2.8802490234375,5.6718748807907104,8.586579280897228
40,1500.0,125.0,8.908254504203796,12.514163255691528,4.293929934501648,3.1582030653953552,6.1250001192092896,6.23011698867715
25,1500.0,175.0,11.475830078125,15.943560600280762,5.64697265625,4.187500178813934,8.00000011920929,8.895135287012435
43,1500.0,200.0,9.44212019443512,13.027580976486206,4.714505076408386,3.5101318359375,6.656249761581421,7.669998404113443
12,1500.0,250.0,6.876491904258728,9.32909369468689,3.4881362318992615,2.6279297471046448,4.8750001192092896,6.397219739444946
51,1500.0,500.0,1000.0665283203125,1407.0086669921875,485.03612518310547,358.21678161621094,689.4999694824219,770.0838035048625
