,MTprime,MPhi,limit_p1,limit_p2,limit_m1,limit_m2,exp,obs
31,1500.0,200.0,6.299227397059679,8.691236005750179,3.1452405740811824,2.341753565185547,4.440658453441143,5.1169719393183275
32,1500.0,250.0,4.587591060797453,6.223822762385845,2.3270793915127514,1.7532002049990891,3.2523134295294285,4.2678488536369885
33,1500.0,500.0,667.1855837834472,938.6734505075683,323.5875825980072,238.9811735475769,459.9938370404663,513.7546327707981
41,1600.0,75.0,3.451563676118374,4.992433628249645,1.5669359211398364,1.1248642364501953,2.303721996014714,3.1853043937245156
35,1600.0,100.0,4.718169634127856,6.696013633406639,2.2001327283575534,1.6000965116397141,3.2001930232794282,5.157034946292326
36,1600.0,125.0,5.090081053481341,7.203649180113316,2.403412333440542,1.7627284270019532,3.4712189767205714,3.4361284197989703
37,1600.0,200.0,5.217569908515215,7.295359335861683,2.5445271642798186,1.8792257185488939,3.6171562732794285,4.478574104991215
38,1600.0,250.0,3.3481436073203086,4.524415666341305,1.7109305125844478,1.2774793208833337,2.3871145664852857,2.770730565871573
39,1600.0,350.0,64.80479020571137,82.41566596404648,33.799246803537365,23.872448754538535,49.28505487752914,42.80429545985089
40,1600.0,450.0,444.52644480093386,594.2538148905945,219.09985985316467,164.62752027113342,309.8870924898834,337.17493746704514
47,1700.0,75.0,3.490792759658575,5.191374505361796,1.554246802001953,1.110816158203125,2.293297875,3.3679244288418135
42,1700.0,100.0,4.44153407244873,6.229675730674982,2.0829023743035795,1.5062797207426428,3.0125594414852856,4.414147774356226
43,1700.0,200.0,5.290444712069035,7.375859818665504,2.525623019129634,1.8421306083984375,3.6275801954705713,4.522472192939995
44,1700.0,250.0,3.1821843794939517,4.321629939009189,1.5853815791348218,1.1850876973446607,2.230753347735286,2.336250687239463
45,1700.0,350.0,36.21969314761734,47.6733114799118,16.17287394076824,11.513072147144793,24.76761768623543,20.372265365773952
46,1700.0,500.0,415.12399517573544,574.4020479694519,201.05913707741547,149.69632180078125,283.86857551011656,315.1440737711434
52,1800.0,75.0,2.6947948382195235,4.229526112589836,1.149474220446825,0.815419654050976,1.7251853673455715,2.32007752193676
48,1800.0,100.0,3.5014819124937056,4.974981690463543,1.613890095715642,1.1687186521391273,2.3558424022647144,3.1026890743825497
49,1800.0,125.0,3.9283811716411114,5.5430969816479685,1.8587284001226425,1.34995926082474,2.6789889607794284,2.7454168790633258
50,1800.0,450.0,266.68881924005126,396.9287308145599,121.94611195818328,89.438617125,176.1252742550583,147.24064834156002
51,1800.0,500.0,306.3614320405426,444.3614816791992,142.5760202570114,105.43437107559585,204.47877525505828,207.32448446028633
60,1900.0,75.0,2.6983865860333442,5.11605695541215,1.11398212533921,0.7915787196277678,1.6887012420294285,2.1636831639430603
53,1900.0,100.0,3.2831008618834017,4.834712853919744,1.4800565817010403,1.0671652384393215,2.1682088204705714,2.9158715419043997
54,1900.0,125.0,3.6685271146659852,5.161045957810163,1.735777494277954,1.260662326171875,2.5017795,2.433274392024999
55,1900.0,175.0,4.568565633268833,6.280005531842709,2.1990338304795025,1.6039240642089843,3.1584965392205713,3.112603676020914
56,1900.0,250.0,2.016061667312264,2.757220667812228,1.017070049085617,0.7502488165283203,1.433311171875,1.290836665849654
57,1900.0,350.0,13.566611858805656,16.313976643369674,6.475436377628803,4.651094911793232,9.840332859058856,9.264487790129357
58,1900.0,450.0,238.3275307184143,298.03702950013735,109.9089066796875,80.39051587247086,160.7810317449417,145.67206480215455
59,1900.0,500.0,346.3223867369385,463.95422443295286,153.0385428515625,112.5800775,225.160155,265.9771993205186
61,2000.0,100.0,3.4749254457349776,5.221948401200295,1.5436289274170996,1.1146844696044922,2.2828737539852857,3.122826768969741
62,2000.0,175.0,4.792826294526815,6.660983306043148,2.3006394353667496,1.6780327668457031,3.304433835779428,3.1951089212001142
63,2000.0,250.0,2.1756792185114624,2.9941559340873956,1.053842567991793,0.7761258037324548,1.516703841757357,1.2644016810849696
64,2000.0,350.0,12.992231239245415,16.79606017999935,5.391656248638153,3.906587324707031,8.130783375,6.440053101258708
65,2000.0,450.0,178.35151291596222,214.28116541908264,90.19928111548234,65.6964677954979,132.42753074494172,138.06120183367787
66,2000.0,500.0,259.63256115444943,319.1523090821686,117.6031943770523,85.29113834259796,173.2899292449417,170.30336835022877
67,2400.0,125.0,2.5400230150977374,4.13222503801918,1.1354253469054698,0.8234616698590815,1.6730649610955715,1.9400056975567044
68,2400.0,175.0,2.95546725301373,4.116323526441335,1.476796571015775,1.080358275918424,2.095240371014714,1.8758026882658363
69,2400.0,200.0,2.6766036743956803,3.6823449552175997,1.3225044097595215,0.9674850410156249,1.876334625,1.8379119146315104
70,2400.0,450.0,23.66169417847252,27.131699933761595,18.88651029471302,17.601386306928635,20.764769531882287,21.046225920567924
71,2800.0,100.0,2.9893640871977807,4.505045876387357,0.9798916318588257,0.6962960522460937,1.485431578125,1.4473113008428455
72,2800.0,125.0,2.6296638151170013,4.866396185285568,1.130015357532978,0.8088638941435218,1.6834890821102857,1.9307192357365144
73,2800.0,500.0,21.750457268488883,24.97611839829826,17.437539778369903,16.2936521026268,19.222005188764573,19.530084407803006
81,2900.0,75.0,3.377456961717367,5.089911655798674,0.9796778965197801,0.6621327944766283,1.6782771210147143,3.2837548281502467
74,2900.0,100.0,3.010342161019206,4.536660414797544,0.9767707976734042,0.6953391641037762,1.4958556991397143,1.452540288243436
75,2900.0,125.0,2.718071113700509,5.062841826579094,1.136291024734497,0.8147070703717768,1.7095492852352858,1.9728976097283055
76,2900.0,175.0,2.9158588140996695,4.1275809170429705,1.4230359697151185,1.0322283581542968,2.03269584375,1.8287365338719532
77,2900.0,250.0,1.3189961678456068,1.8416631741825342,0.6279185384611488,0.46053265209960936,0.9068950488676428,0.8457386539623147
78,2900.0,350.0,3.5047955061314107,4.471868584707498,1.4430341415658592,1.0272606518159508,2.2099053045294283,1.2677182594008936
79,2900.0,450.0,11.653715964943885,13.38199860588169,9.41518046380806,8.810466524930478,10.298992593117713,10.407846965713635
80,2900.0,500.0,19.344224423867225,22.21303382690048,15.46774853137207,14.4243224296875,17.09549325,17.361619563372546
90,3000.0,75.0,3.776038972559452,5.69058430676794,1.0374009521827698,0.6962960522460937,1.876334625,2.157404992973753
82,3000.0,100.0,3.0418089735159874,4.584081824765682,0.98315233842659,0.6967032429199219,1.51149178125,1.4663964443687585
83,3000.0,125.0,2.7014973796284196,5.147531522028208,1.1293623215133548,0.809739314327538,1.6991251642205716,1.9622662710550347
84,3000.0,175.0,3.007244688603401,4.295937161843777,1.4545614351654053,1.0505519384765625,2.08481625,1.8764151359441055
85,3000.0,200.0,2.621530539289713,6.671412,1.2681212918574214,0.9186612289879917,1.8046145887477398,1.7698741461510659
86,3000.0,250.0,1.3153812570857406,1.8393613936986923,0.6279185384611488,0.46053265209960936,0.9068950488676428,0.8389193193442904
87,3000.0,350.0,3.288878674862623,4.299898125029325,1.3358844408073425,0.9552693208007812,2.0379078048455717,1.1662212923806266
88,3000.0,450.0,10.80445698642683,12.406792052654742,8.729053044287681,8.168407952320576,9.548458265941143,9.64039799500032
89,3000.0,500.0,17.66929807649803,20.289710034376146,14.165638648252488,13.236384994096756,15.615274030617714,15.87170494465901
