,MTprime,MPhi,Limit [fb]
0,1600.0,450.0,728.194580078125
1,1600.0,175.0,10.59192180633545
2,1400.0,100.0,10.59192180633545
3,1400.0,75.0,6.7959606647491455
4,1500.0,75.0,6.619951128959656
5,1800.0,75.0,3.9719703793525696
6,1900.0,75.0,3.9719703793525696
7,1000.0,175.0,67.95960664749146
8,1600.0,500.0,905.6092834472656
9,1000.0,75.0,22.653202712535858
10,1100.0,175.0,39.719703793525696
11,1100.0,350.0,2144.864082336426
12,1600.0,75.0,5.295960903167725
13,1200.0,450.0,1750.9893417358398
14,1300.0,100.0,11.326601356267929
15,1700.0,100.0,6.7959606647491455
16,1400.0,175.0,14.563891887664795
17,1500.0,200.0,10.59192180633545
18,1700.0,125.0,7.9286205768585205
19,1700.0,175.0,10.59192180633545
20,1400.0,125.0,10.193941593170166
21,1500.0,100.0,9.26793098449707
22,1600.0,200.0,7.9286205768585205
23,1700.0,200.0,9.26793098449707
24,1000.0,100.0,33.97980332374573
25,1000.0,125.0,28.316503763198853
26,1000.0,200.0,135.9192132949829
27,1000.0,450.0,3892.5308227539062
28,1100.0,100.0,22.653202712535858
29,1700.0,250.0,5.295960903167725
30,1200.0,100.0,15.554925799369812
31,1200.0,250.0,56.633007526397705
32,1200.0,75.0,11.326601356267929
33,1300.0,175.0,16.989901661872864
34,1300.0,450.0,1853.586196899414
35,1400.0,450.0,1173.0552673339844
36,1600.0,100.0,7.943940758705139
37,2000.0,75.0,5.295960903167725
38,1700.0,350.0,59.62552070617676
39,1100.0,200.0,45.306405425071716
40,1100.0,500.0,2647.980308532715
41,1200.0,175.0,22.653202712535858
42,1700.0,450.0,593.1475830078125
43,1300.0,250.0,22.653202712535858
44,1300.0,500.0,1482.8689575195312
45,1400.0,500.0,1271.0305786132812
46,1600.0,125.0,7.9286205768585205
47,1500.0,125.0,9.061281085014343
48,1600.0,250.0,5.6633007526397705
49,1100.0,450.0,1708.6370468139648
50,1200.0,125.0,19.859851896762848
51,1200.0,350.0,1022.1517562866211
52,1300.0,125.0,14.158251881599426
53,1300.0,350.0,617.86208152771
54,1700.0,500.0,667.2910308837891
55,1500.0,350.0,323.0535888671875
56,1700.0,75.0,5.295960903167725
57,1500.0,175.0,13.239902257919312
58,1600.0,350.0,116.51113510131836
59,1400.0,250.0,11.915911436080933
60,1500.0,450.0,916.2012481689453
61,2100.0,75.0,4.402463138103485
62,1400.0,200.0,11.326601505279541
63,1500.0,250.0,7.943940758705139
64,1800.0,100.0,5.6633007526397705
65,1800.0,125.0,6.619951128959656
66,1800.0,175.0,7.943940758705139
67,1000.0,250.0,823.4000205993652
68,1000.0,500.0,6487.5518798828125
69,1100.0,125.0,22.653202712535858
70,1100.0,250.0,264.79804515838623
71,1100.0,75.0,15.979795157909393
72,1200.0,200.0,22.653202712535858
73,1200.0,500.0,2012.4649047851562
74,1300.0,200.0,15.554925799369812
75,1300.0,75.0,8.494950830936432
76,1400.0,350.0,473.9884948730469
77,1500.0,500.0,1075.0800323486328
78,2200.0,75.0,3.9719703793525696
79,2900.0,500.0,40.44280529022217
80,2900.0,75.0,4.528023302555084
81,3000.0,100.0,4.528023302555084
82,3000.0,125.0,4.25896555185318
83,3000.0,175.0,5.295960903167725
84,3000.0,200.0,4.530640542507172
85,3000.0,250.0,2.265320271253586
86,3000.0,350.0,5.295960903167725
87,3000.0,450.0,19.599909782409668
88,3000.0,500.0,37.33182430267334
89,3000.0,75.0,4.528023302555084
90,800.0,100.0,397.1970558166504
91,800.0,125.0,503.11622619628906
92,800.0,175.0,2144.864082336426
93,800.0,200.0,3998.4500885009766
94,800.0,250.0,6593.470764160156
95,800.0,350.0,15676.043701171875
96,800.0,450.0,11730.552673339844
97,800.0,500.0,12816.224670410156
98,800.0,75.0,294.4916248321533
99,900.0,100.0,45.306405425071716
100,900.0,125.0,66.19951128959656
101,900.0,175.0,271.8384265899658
102,900.0,200.0,741.4344787597656
103,900.0,250.0,2674.460029602051
104,900.0,350.0,3707.172393798828
105,900.0,450.0,6990.667724609375
106,900.0,500.0,11200.956726074219
107,900.0,75.0,50.96970796585083
108,1900.0,325.0,8.826600909233093
109,2000.0,300.0,5.6633007526397705
110,2600.0,500.0,70.86133003234863
111,1000.0,150.0,37.75533735752106
112,2100.0,225.0,3.7755337357521057
113,1100.0,225.0,44.133004546165466
114,1200.0,150.0,16.54987782239914
115,1200.0,225.0,22.066502273082733
116,2100.0,275.0,3.7755337357521057
117,1400.0,225.0,7.551067471504211
118,1500.0,150.0,7.551067471504211
119,1500.0,225.0,6.619951128959656
120,2100.0,300.0,4.706650376319885
121,1700.0,225.0,4.719417095184326
122,1700.0,275.0,6.619951128959656
123,1700.0,300.0,9.41330075263977
124,2100.0,325.0,7.551067471504211
