,MTprime,MPhi,Limit [fb]
154,1900.0,175.0,4.4999998807907104
155,1900.0,250.0,2.2499999403953552
156,1900.0,450.0,210.0
157,2000.0,100.0,3.0000001192092896
158,2000.0,175.0,4.4999998807907104
159,2000.0,250.0,2.2499999403953552
160,2000.0,450.0,171.00000381469727
161,2100.0,100.0,3.0000001192092896
162,2100.0,175.0,3.75
163,2100.0,250.0,2.2499999403953552
164,2100.0,450.0,162.00000762939453
165,2200.0,100.0,2.2499999403953552
166,2200.0,175.0,3.75
167,2200.0,250.0,1.5000000596046448
168,2200.0,450.0,88.50000381469727
169,2300.0,100.0,2.2499999403953552
170,2300.0,175.0,2.2382812201976776
171,2300.0,250.0,1.5000000596046448
172,2300.0,450.0,35.250000953674316
173,2300.0,75.0,2.2499999403953552
174,2400.0,125.0,2.2499999403953552
175,2400.0,200.0,3.0000001192092896
176,2400.0,350.0,5.249999761581421
177,2400.0,500.0,96.00000381469727
178,2500.0,100.0,2.2499999403953552
179,2500.0,175.0,3.3125001192092896
180,2500.0,250.0,1.5000000596046448
181,2500.0,450.0,25.687499046325684
182,2500.0,75.0,2.28515625
183,2600.0,125.0,2.2499999403953552
184,2600.0,200.0,3.0000001192092896
185,2600.0,350.0,3.75
186,2700.0,100.0,2.2499999403953552
187,2700.0,175.0,3.0000001192092896
188,2700.0,250.0,1.5000000596046448
189,2700.0,75.0,2.2499999403953552
190,2800.0,125.0,2.2499999403953552
191,2800.0,200.0,3.0000001192092896
192,2800.0,350.0,3.0000001192092896
193,2800.0,500.0,32.99999952316284
194,2900.0,100.0,2.2499999403953552
195,2900.0,175.0,3.0000001192092896
196,2900.0,250.0,1.5000000596046448
197,2900.0,450.0,16.687500476837158
198,2300.0,150.0,2.4999999999999996
199,1800.0,200.0,4.4999998807907104
200,1800.0,250.0,2.2499999403953552
201,1800.0,350.0,18.75
202,1800.0,450.0,231.00000381469727
203,1800.0,500.0,268.50000381469727
204,1900.0,100.0,3.0000001192092896
205,1900.0,125.0,3.75
206,1900.0,200.0,3.75
207,1900.0,350.0,12.749999761581421
208,1900.0,500.0,291.00000381469727
209,2000.0,125.0,3.75
210,2000.0,200.0,3.75
211,2000.0,350.0,10.499999523162842
212,2000.0,500.0,223.50000381469727
213,2100.0,125.0,3.369140625
214,2100.0,200.0,3.3750000596046448
215,2100.0,350.0,8.999999761581421
216,2100.0,500.0,173.99999618530273
217,2200.0,125.0,2.6249998807907104
218,2200.0,200.0,3.0000001192092896
219,2200.0,350.0,6.7500001192092896
220,2200.0,500.0,201.00000381469727
221,2300.0,125.0,2.2499999403953552
222,2300.0,200.0,3.0000001192092896
223,2300.0,350.0,5.249999761581421
224,2300.0,500.0,123.00000190734863
225,2400.0,100.0,2.2499999403953552
226,2400.0,175.0,3.0000001192092896
227,2400.0,250.0,1.5000000596046448
228,2400.0,75.0,2.2499999403953552
229,2500.0,125.0,2.2499999403953552
230,2500.0,200.0,3.0000001192092896
231,2500.0,350.0,4.4999998807907104
232,2500.0,500.0,73.49999904632568
233,2600.0,100.0,2.2499999403953552
234,2600.0,175.0,3.0000001192092896
235,2600.0,250.0,1.5000000596046448
236,2600.0,450.0,21.609375476837158
237,2600.0,75.0,2.2499999403953552
238,2700.0,125.0,2.2499999403953552
239,2700.0,200.0,3.0000001192092896
240,2700.0,350.0,3.75
241,2700.0,500.0,40.50000190734863
242,2800.0,100.0,2.2499999403953552
243,2800.0,175.0,3.0000001192092896
244,2800.0,250.0,1.5000000596046448
245,2800.0,450.0,17.296874523162842
246,2800.0,75.0,2.2499999403953552
247,2900.0,125.0,2.2499999403953552
248,2900.0,200.0,3.0000001192092896
249,2900.0,350.0,3.0000001192092896
250,2300.0,300.0,2.4999999999999996
251,2300.0,325.0,3.75
252,2400.0,150.0,1.875
253,2400.0,225.0,1.875
254,2600.0,150.0,1.875
255,2600.0,225.0,1.5625
256,2600.0,275.0,1.2499999999999998
257,2600.0,300.0,1.875
258,2600.0,325.0,2.4999999999999996
259,2700.0,150.0,1.875
260,2700.0,225.0,1.2499999999999998
261,2800.0,225.0,1.5625
262,2800.0,275.0,1.2499999999999998
263,2800.0,300.0,1.875
264,2800.0,325.0,2.4999999999999996
265,2900.0,150.0,1.875
266,2900.0,225.0,1.5625
267,2900.0,275.0,1.2499999999999998
268,2900.0,300.0,1.875
269,2900.0,325.0,2.4999999999999996
270,3000.0,150.0,1.875
271,3000.0,225.0,1.2499999999999998
272,3000.0,275.0,1.2499999999999998
273,3000.0,300.0,1.875
274,3000.0,325.0,1.875
275,900.0,150.0,49.99999999999999
276,2500.0,150.0,2.4999999999999996
277,2500.0,225.0,1.875
278,2800.0,150.0,1.875
279,2400.0,275.0,1.2499999999999998
280,2400.0,300.0,1.875
281,2400.0,325.0,3.125
282,2500.0,275.0,1.875
283,2500.0,300.0,2.4999999999999996
284,2500.0,325.0,3.125
285,2700.0,275.0,1.2499999999999998
286,2700.0,300.0,1.875
287,2700.0,325.0,2.4999999999999996
