,MTprime,MPhi,Limit [fb]
0,1600.0,450.0,206.25
1,1600.0,175.0,3.0000001192092896
2,1400.0,100.0,3.0000001192092896
3,1400.0,75.0,2.2499999403953552
4,1500.0,75.0,1.875
5,1800.0,75.0,1.1249999701976776
6,1900.0,75.0,1.1249999701976776
7,1000.0,175.0,22.499999403953552
8,1600.0,500.0,256.49999618530273
9,1000.0,75.0,7.500000298023224
10,1100.0,175.0,11.249999701976776
11,1100.0,350.0,607.4999809265137
12,1600.0,75.0,1.5000000596046448
13,1200.0,450.0,572.16796875
14,1300.0,100.0,3.750000149011612
15,1700.0,100.0,2.2499999403953552
16,1400.0,175.0,4.124999940395355
17,1500.0,200.0,3.0000001192092896
18,1700.0,125.0,2.6249998807907104
19,1700.0,175.0,3.0000001192092896
20,1400.0,125.0,3.3750000596046448
21,1500.0,100.0,2.6249998807907104
22,1600.0,200.0,2.6249998807907104
23,1700.0,200.0,2.6249998807907104
24,1000.0,100.0,11.249999701976776
25,1000.0,125.0,9.375
26,1000.0,200.0,44.999998807907104
27,1000.0,450.0,1102.4999618530273
28,1100.0,100.0,7.500000298023224
29,1700.0,250.0,1.5000000596046448
30,1200.0,100.0,5.624999850988388
31,1200.0,250.0,18.75
32,1200.0,75.0,3.750000149011612
33,1300.0,175.0,5.624999850988388
34,1300.0,450.0,525.0
35,1400.0,450.0,332.24998474121094
36,1600.0,100.0,2.2499999403953552
37,2000.0,75.0,1.5000000596046448
38,1700.0,350.0,15.750000476837158
39,1100.0,200.0,15.000000596046448
40,1100.0,500.0,750.0
41,1200.0,175.0,7.500000298023224
42,1700.0,450.0,167.99999237060547
43,1300.0,250.0,7.500000298023224
44,1300.0,500.0,419.9999809265137
45,1400.0,500.0,360.0
46,1600.0,125.0,2.6249998807907104
47,1500.0,125.0,3.0000001192092896
48,1600.0,250.0,1.875
49,1100.0,450.0,548.1738090515137
50,1200.0,125.0,5.624999850988388
51,1200.0,350.0,270.0000047683716
52,1300.0,125.0,4.6875
53,1300.0,350.0,175.0
54,1700.0,500.0,188.99999618530273
55,1500.0,350.0,91.49999618530273
56,1700.0,75.0,1.5000000596046448
57,1500.0,175.0,3.75
58,1600.0,350.0,32.99999952316284
59,1400.0,250.0,3.3750000596046448
60,1500.0,450.0,259.50000762939453
