,MTprime,MPhi,limit_p1,limit_p2,limit_m1,limit_m2,exp,obs
98,800.0,75.0,294.4916248321533,443.7290668487549,146.25000953674316,97.50000238418579,195.00000476837158,257.87105395094625
90,800.0,100.0,397.1970558166504,540.6946182250977,168.75,112.5,225.0,159.17065170424004
91,800.0,125.0,503.11622619628906,684.8797798156738,213.74998092651367,142.49999523162842,284.99999046325684,208.01793662454017
92,800.0,175.0,2144.864082336426,3307.194137573242,911.2499237060547,607.4999809265137,1214.9999618530273,883.8968486049984
93,800.0,200.0,3998.4500885009766,6526.398468017578,1698.7499237060547,1132.4999809265137,2264.9999618530273,1761.3876187459532
94,800.0,250.0,6593.470764160156,9571.044921875,2801.249885559082,1867.4999237060547,3734.9998474121094,3184.0235189205728
95,800.0,350.0,15676.043701171875,21339.413452148438,6660.0006103515625,4440.000152587891,8880.000305175781,9832.55890060929
96,800.0,450.0,11730.552673339844,18087.493896484375,4983.749771118164,3322.4998474121094,6644.999694824219,6560.795875991557
97,800.0,500.0,12816.224670410156,18603.958129882812,5444.999694824219,3629.9999237060547,7259.999847412109,8373.203879481538
107,900.0,75.0,50.96970796585083,76.79926753044128,25.312501192092896,16.875000298023224,33.75000059604645,43.87860002386949
99,900.0,100.0,45.306405425071716,68.2660162448883,22.50000089406967,15.000000596046448,30.000001192092896,21.26893409268334
100,900.0,125.0,66.19951128959656,90.11576771736145,28.125,18.75,37.5,15.691012741650697
275,900.0,150.0,75.51067471504211,113.77668380737305,37.5,25.0,49.99999999999999,29.22911035138017
101,900.0,175.0,271.8384265899658,409.59606170654297,134.99999046325684,89.99999761581421,179.99999523162842,143.08410128361317
102,900.0,200.0,741.4344787597656,1143.2275772094727,314.99998569488525,209.99999046325684,419.9999809265137,337.37090443995965
103,900.0,250.0,2674.460029602051,4123.785018920898,1136.2499237060547,757.4999809265137,1514.9999618530273,1419.2086725448403
104,900.0,350.0,3707.172393798828,5381.310272216797,1575.0,1050.0,2100.0,2408.5805935106196
105,900.0,450.0,6990.667724609375,10779.003143310547,2969.999885559082,1979.9999237060547,3959.9998474121094,3463.280618351162
106,900.0,500.0,11200.956726074219,16259.245300292969,4758.750152587891,3172.5000381469727,6345.000076293945,5990.615641465461
9,1000.0,75.0,22.653202712535858,34.13300812244415,11.250000447034836,7.500000298023224,15.000000596046448,21.82206678854558
24,1000.0,100.0,33.97980332374573,46.894580125808716,16.874998807907104,11.249999701976776,22.499999403953552,18.365422900782892
25,1000.0,125.0,28.316503763198853,39.0788197517395,14.0625,9.375,18.75,9.804302792528308
111,1000.0,150.0,37.75533735752106,52.105093002319336,18.75,12.5,24.999999999999996,21.49610633425424
7,1000.0,175.0,67.95960664749146,102.39901542663574,33.74999761581421,22.499999403953552,44.999998807907104,46.018612563833294
26,1000.0,200.0,135.9192132949829,204.79803085327148,67.49999523162842,44.999998807907104,89.99999761581421,87.54524804378688
67,1000.0,250.0,823.4000205993652,1291.5607452392578,326.2499809265137,217.49999523162842,434.99999046325684,526.9568943933767
27,1000.0,450.0,3892.5308227539062,6001.944732666016,1653.7498474121094,1102.4999618530273,2204.9999237060547,2281.023293342733
68,1000.0,500.0,6487.5518798828125,10003.241729736328,2756.25,1837.5,3675.0,2772.4349087947608
71,1100.0,75.0,15.979795157909393,23.383666574954987,7.424183189868927,5.445098876953125,10.722656548023224,12.261565738503732
28,1100.0,100.0,22.653202712535858,31.26305639743805,11.250000447034836,7.500000298023224,15.000000596046448,18.67682961934856
69,1100.0,125.0,22.653202712535858,34.13300812244415,11.250000447034836,7.500000298023224,15.000000596046448,12.021861210322136
137,1100.0,150.0,28.316503763198853,42.66625642776489,14.0625,9.375,18.75,27.732255976164556
