,MTprime,MPhi,Limit (fb)
0,1600.0,350.0,123.53556632995605
1,1600.0,125.0,10.79778790473938
2,900.0,75.0,66.61498546600342
3,1000.0,200.0,185.0797414779663
4,1000.0,75.0,30.775892734527588
5,1200.0,200.0,27.586862444877625
6,1300.0,125.0,18.155254423618317
7,1300.0,250.0,27.332043647766113
8,1300.0,75.0,11.301233619451523
9,1400.0,200.0,14.790700674057007
10,1500.0,250.0,9.32909369468689
11,1700.0,75.0,7.781522870063782
12,1800.0,125.0,8.308731317520142
13,1000.0,125.0,34.81462001800537
14,1800.0,75.0,6.339776515960693
15,1100.0,200.0,53.71804237365723
16,1100.0,450.0,2386.7538452148438
17,1900.0,100.0,7.246910929679871
18,1200.0,450.0,2510.8537673950195
19,1900.0,125.0,7.736062407493591
20,1400.0,250.0,14.078714847564697
21,1400.0,75.0,9.515925645828247
22,1500.0,175.0,15.943560600280762
23,1700.0,350.0,71.45910263061523
24,1600.0,250.0,6.781796216964722
25,1900.0,175.0,9.413307905197144
26,1000.0,450.0,5050.209426879883
27,1100.0,100.0,26.758798956871033
28,1100.0,175.0,45.803046226501465
29,1900.0,250.0,4.132889211177826
30,1200.0,175.0,30.059054493904114
31,1200.0,250.0,78.01188826560974
32,1200.0,75.0,13.966700434684753
33,1900.0,350.0,24.453558921813965
34,1300.0,450.0,2353.6375045776367
35,1400.0,125.0,14.092415571212769
36,1500.0,125.0,12.514163255691528
37,1500.0,75.0,8.720850944519043
38,1800.0,100.0,7.457164525985718
39,1500.0,200.0,13.027580976486206
40,1300.0,175.0,22.24411815404892
41,1300.0,350.0,1049.9692916870117
42,1400.0,175.0,17.318389415740967
43,1500.0,100.0,11.867706775665283
44,1600.0,100.0,10.036876201629639
45,1900.0,75.0,7.66862690448761
46,1600.0,200.0,10.935255289077759
47,2900.0,75.0,7.6294368505477905
48,1000.0,100.0,39.83194828033447
49,2000.0,100.0,7.827351093292236
50,1600.0,75.0,7.483323812484741
51,2000.0,175.0,9.984368085861206
52,1700.0,100.0,9.33786690235138
53,2000.0,250.0,4.488039314746857
54,1700.0,200.0,11.055920124053955
55,2000.0,350.0,25.176169872283936
56,1700.0,250.0,6.477833986282349
57,2000.0,450.0,321.19312286376953
58,2000.0,500.0,478.38794708251953
59,2400.0,125.0,6.1939287185668945
60,2400.0,175.0,6.170093417167664
61,2400.0,200.0,5.519588589668274
62,2400.0,450.0,40.668601989746094
63,2800.0,100.0,6.752762198448181
64,2800.0,125.0,7.294402122497559
65,2800.0,500.0,37.43752956390381
66,2900.0,100.0,6.800150275230408
67,2900.0,125.0,7.588860988616943
68,2900.0,175.0,6.186967492103577
69,2900.0,250.0,2.7605298161506653
70,2900.0,350.0,6.703031659126282
71,2900.0,450.0,20.058720111846924
72,2900.0,500.0,33.29585075378418
73,3000.0,100.0,6.8712317943573
74,3000.0,125.0,7.715805172920227
75,3000.0,175.0,6.439322233200073
76,3000.0,200.0,5.55021345615387
77,3000.0,250.0,2.757079601287842
78,3000.0,350.0,6.44525945186615
79,3000.0,450.0,18.59695076942444
80,3000.0,500.0,30.412917137145996
81,3000.0,75.0,8.529804944992065
82,800.0,100.0,473.69890213012695
83,800.0,125.0,603.4518718719482
84,800.0,175.0,2871.547508239746
85,800.0,250.0,8458.902740478516
86,800.0,75.0,409.3593120574951
87,900.0,100.0,61.07010841369629
88,900.0,125.0,79.90765571594238
89,900.0,175.0,362.39938735961914
90,900.0,200.0,1055.4227828979492
91,900.0,350.0,4831.172180175781
