,MTprime,MPhi,Limit [fb]
0,1600.0,450.0,548.5978093912865
1,1600.0,175.0,7.149917946191742
2,1400.0,100.0,8.476452628202203
3,1400.0,75.0,4.8102398995008775
4,1500.0,75.0,5.520551837784804
5,1800.0,75.0,3.701351899168927
6,1900.0,75.0,3.4411071160999684
7,1000.0,175.0,46.018612563833294
8,1600.0,500.0,664.4058698348554
9,1000.0,75.0,21.82206678854558
10,1100.0,175.0,43.58359809048216
11,1100.0,350.0,1251.3154857919553
12,1600.0,75.0,5.113116652924205
13,1200.0,450.0,828.7667754288391
14,1300.0,100.0,10.787761359291578
15,1700.0,100.0,7.110532981979699
16,1400.0,175.0,8.363334255126022
17,1500.0,200.0,8.114443468861733
18,1700.0,125.0,6.064287065817425
19,1700.0,175.0,6.259634636738786
20,1400.0,125.0,8.585867124952403
21,1500.0,100.0,9.196397685353423
22,1600.0,200.0,7.130430654980531
23,1700.0,200.0,7.218785040585292
24,1000.0,100.0,18.365422900782892
25,1000.0,125.0,9.804302792528308
26,1000.0,200.0,87.54524804378688
27,1000.0,450.0,2281.023293342733
28,1100.0,100.0,18.67682961934856
29,1700.0,250.0,3.7180057984886723
30,1200.0,100.0,14.48179752584684
31,1200.0,250.0,40.107643793152334
32,1200.0,75.0,7.020665084131996
33,1300.0,175.0,10.598088966494933
34,1300.0,450.0,1102.7597865478208
35,1400.0,450.0,844.3855605457115
36,1600.0,100.0,8.292610122468364
37,2000.0,75.0,3.889148869700233
38,1700.0,350.0,31.60189205159832
39,1100.0,200.0,34.29579785299558
40,1100.0,500.0,1225.5483527420104
41,1200.0,175.0,20.524838466806106
42,1700.0,450.0,378.5300437807208
43,1300.0,250.0,15.265163687089132
44,1300.0,500.0,843.714819762366
45,1400.0,500.0,885.3641578504061
46,1600.0,125.0,5.438830669129135
47,1500.0,125.0,6.5765368512388624
48,1600.0,250.0,4.428535716567135
49,1100.0,450.0,849.3883616206572
50,1200.0,125.0,12.055141694073711
51,1200.0,350.0,798.5052638939892
52,1300.0,125.0,10.366512988445026
