,MTprime,MPhi,Limit [fb]
158,2000.0,175.0,3.374999761581421
159,2000.0,250.0,1.6874998807907104
160,2000.0,450.0,128.25000762939453
161,2100.0,100.0,2.250000089406967
162,2100.0,175.0,2.8125
163,2100.0,250.0,1.6874998807907104
164,2100.0,450.0,121.5000057220459
165,2200.0,100.0,1.6874998807907104
166,2200.0,175.0,2.8125
167,2200.0,250.0,1.1250000447034836
168,2200.0,450.0,77.4375057220459
169,2300.0,100.0,1.6874998807907104
170,2300.0,175.0,1.5190093219280243
171,2300.0,250.0,1.1250000447034836
172,2300.0,450.0,26.437501907348633
173,2300.0,75.0,1.6874998807907104
174,2400.0,125.0,1.6874998807907104
175,2400.0,200.0,2.250000089406967
176,2400.0,350.0,3.9374998211860657
177,2400.0,500.0,84.0000057220459
178,2500.0,100.0,1.6874998807907104
179,2500.0,175.0,2.2449952363967896
180,2500.0,250.0,1.1250000447034836
181,2500.0,450.0,21.70518398284912
182,2500.0,75.0,1.3900762796401978
183,2600.0,125.0,1.6874998807907104
184,2600.0,200.0,2.250000089406967
185,2600.0,350.0,2.8125
186,2700.0,100.0,1.6874998807907104
187,2700.0,175.0,2.250000089406967
188,2700.0,250.0,1.1250000447034836
189,2700.0,75.0,1.6874998807907104
190,2800.0,125.0,1.6874998807907104
191,2800.0,200.0,2.250000089406967
192,2800.0,350.0,2.250000089406967
193,2800.0,500.0,28.875000476837158
194,2900.0,100.0,1.6874998807907104
195,2900.0,175.0,2.250000089406967
196,2900.0,250.0,1.1250000447034836
197,2900.0,450.0,14.018967151641846
198,2300.0,150.0,1.875
199,1800.0,200.0,3.374999761581421
200,1800.0,250.0,1.6874998807907104
201,1800.0,350.0,14.0625
202,1800.0,450.0,173.25000762939453
203,1800.0,500.0,201.37500762939453
204,1900.0,100.0,2.250000089406967
205,1900.0,125.0,2.8125
206,1900.0,200.0,2.8125
207,1900.0,350.0,9.562499523162842
208,1900.0,500.0,218.25000762939453
209,2000.0,125.0,2.8125
210,2000.0,200.0,2.8125
211,2000.0,350.0,7.874999642372131
212,2000.0,500.0,167.62500762939453
213,2100.0,125.0,2.2614821791648865
214,2100.0,200.0,2.5312501192092896
215,2100.0,350.0,6.749999523162842
216,2100.0,500.0,130.49999237060547
217,2200.0,125.0,1.9687499105930328
218,2200.0,200.0,2.250000089406967
219,2200.0,350.0,5.062500238418579
220,2200.0,500.0,150.75000762939453
221,2300.0,125.0,1.6874998807907104
222,2300.0,200.0,2.250000089406967
223,2300.0,350.0,3.9374998211860657
224,2300.0,500.0,92.25000381469727
225,2400.0,100.0,1.6874998807907104
226,2400.0,175.0,2.250000089406967
227,2400.0,250.0,1.1250000447034836
228,2400.0,75.0,1.6874998807907104
229,2500.0,125.0,1.6874998807907104
230,2500.0,200.0,2.250000089406967
231,2500.0,350.0,3.374999761581421
232,2500.0,500.0,64.31250095367432
233,2600.0,100.0,1.6874998807907104
234,2600.0,175.0,2.250000089406967
235,2600.0,250.0,1.1250000447034836
236,2600.0,450.0,18.259289264678955
237,2600.0,75.0,1.6874998807907104
238,2700.0,125.0,1.6874998807907104
239,2700.0,200.0,2.250000089406967
240,2700.0,350.0,2.8125
241,2700.0,500.0,35.43750286102295
242,2800.0,100.0,1.6874998807907104
243,2800.0,175.0,2.250000089406967
244,2800.0,250.0,1.1250000447034836
245,2800.0,450.0,14.573123455047607
246,2800.0,75.0,1.6874998807907104
247,2900.0,125.0,1.6874998807907104
248,2900.0,200.0,2.250000089406967
249,2900.0,350.0,2.250000089406967
250,2300.0,300.0,1.875
251,2300.0,325.0,2.8125
252,2400.0,150.0,1.40625
253,2400.0,225.0,1.171875
254,2600.0,150.0,1.40625
255,2600.0,225.0,1.171875
256,2600.0,275.0,0.9375
257,2600.0,300.0,1.40625
258,2600.0,325.0,1.875
259,2700.0,150.0,1.40625
260,2700.0,225.0,0.9375
261,2800.0,225.0,1.171875
262,2800.0,275.0,0.9375
263,2800.0,300.0,1.40625
264,2800.0,325.0,1.875
265,2900.0,150.0,1.40625
266,2900.0,225.0,1.171875
267,2900.0,275.0,0.9375
268,2900.0,300.0,1.40625
269,2900.0,325.0,1.875
270,3000.0,150.0,1.40625
271,3000.0,225.0,0.9375
272,3000.0,275.0,0.9375
273,3000.0,300.0,1.40625
274,3000.0,325.0,1.40625
275,900.0,150.0,37.5
276,2500.0,150.0,1.875
277,2500.0,225.0,1.40625
278,2800.0,150.0,1.40625
279,2400.0,275.0,0.9375
280,2400.0,300.0,1.40625
281,2400.0,325.0,2.34375
282,2500.0,275.0,1.40625
283,2500.0,300.0,1.875
284,2500.0,325.0,2.34375
285,2700.0,275.0,0.9375
286,2700.0,300.0,1.40625
287,2700.0,325.0,1.875
